dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
InsectSound, 2048, 8, 22, 1, 65.58000183105469, 5597440.0, 3.36019, 0.0590318, 1441210.0, 0.0105462
InsectSound, 2048, 8, 22, 3, 65.58000183105469, 9466250.0, 6.21045, 0.0729141, 1780130.0, 0.00770253
InsectSound, 2048, 8, 22, 6, 65.58000183105469, 9304380.0, 6.55556, 0.0716657, 1749650.0, 0.00770236
InsectSound, 2048, 8, 32, 1, 65.58000183105469, 12447300.0, 2.37571, 0.036786, 898096.0, 0.00295533
InsectSound, 2048, 8, 32, 3, 65.58000183105469, 21094800.0, 4.12479, 0.0454368, 1109300.0, 0.00215393
InsectSound, 2048, 8, 32, 6, 65.58000183105469, 20741400.0, 4.05875, 0.0446589, 1090300.0, 0.00215313
InsectSound, 2048, 4, 22, 1, 65.58000183105469, 5597440.0, 3.36019, 0.0590318, 1441210.0, 0.0105462
InsectSound, 2048, 4, 22, 3, 65.58000183105469, 9466250.0, 6.21045, 0.0729141, 1780130.0, 0.00770253
InsectSound, 2048, 4, 22, 6, 65.58000183105469, 9304380.0, 6.55556, 0.0716657, 1749650.0, 0.00770236
InsectSound, 2048, 4, 32, 1, 65.58000183105469, 12447300.0, 2.37571, 0.036786, 898096.0, 0.00295533
InsectSound, 2048, 4, 32, 3, 65.58000183105469, 21094800.0, 4.12479, 0.0454368, 1109300.0, 0.00215393
InsectSound, 2048, 4, 32, 6, 65.58000183105469, 20741400.0, 4.05875, 0.0446589, 1090300.0, 0.00215313
InsectSound, 2048, 1, 22, 1, 65.58000183105469, 5597440.0, 3.36019, 0.0590318, 1441210.0, 0.0105462
InsectSound, 2048, 1, 22, 3, 65.58000183105469, 9466250.0, 6.21045, 0.0729141, 1780130.0, 0.00770253
InsectSound, 2048, 1, 22, 6, 65.58000183105469, 9304380.0, 6.55556, 0.0716657, 1749650.0, 0.00770236
InsectSound, 2048, 1, 32, 1, 65.58000183105469, 12447300.0, 2.37571, 0.036786, 898096.0, 0.00295533
InsectSound, 2048, 1, 32, 3, 65.58000183105469, 21094800.0, 4.12479, 0.0454368, 1109300.0, 0.00215393
InsectSound, 2048, 1, 32, 6, 65.58000183105469, 20741400.0, 4.05875, 0.0446589, 1090300.0, 0.00215313
